iter	Passed	Remaining
0	120	119946
1	121	60683
2	123	40988
3	124	31085
4	126	25150
5	127	21188
6	129	18358
7	130	16231
8	132	14576
9	133	13255
10	135	12175
11	136	11273
12	138	10513
13	140	9874
14	141	9319
15	143	8829
16	145	8392
17	146	7993
18	147	7637
19	149	7320
20	150	7038
21	152	6775
22	153	6540
23	155	6323
24	157	6133
25	158	5949
26	160	5776
27	161	5617
28	163	5472
29	164	5332
30	166	5202
31	168	5082
32	169	4969
33	171	4861
34	172	4764
35	174	4666
36	175	4579
37	177	4492
38	178	4407
39	180	4328
40	181	4251
41	183	4179
42	184	4111
43	186	4046
44	187	3986
45	189	3926
46	190	3869
47	192	3814
48	193	3762
49	195	3711
50	196	3664
51	198	3619
52	200	3574
53	201	3530
54	203	3488
55	204	3447
56	205	3407
57	207	3371
58	209	3334
59	210	3299
60	212	3268
61	214	3239
62	215	3208
63	217	3177
64	218	3147
65	220	3118
66	221	3091
67	222	3053
68	224	3027
69	225	3002
70	227	2975
71	228	2950
72	230	2925
73	231	2902
74	233	2877
75	234	2855
76	236	2832
77	237	2810
78	239	2789
79	240	2768
80	242	2748
81	243	2729
82	245	2710
83	246	2692
84	247	2669
85	249	2651
86	250	2629
87	252	2612
88	253	2595
89	255	2578
90	256	2563
91	258	2546
92	259	2530
93	260	2514
94	262	2499
95	263	2484
96	265	2469
97	266	2456
98	268	2442
99	269	2428
100	271	2414
101	272	2395
102	273	2382
103	275	2369
104	276	2357
105	278	2346
106	279	2334
107	281	2322
108	282	2310
109	284	2299
110	285	2289
111	287	2279
112	289	2269
113	290	2258
114	292	2247
115	293	2234
116	294	2224
117	296	2214
118	297	2202
119	299	2193
120	300	2185
121	302	2176
122	303	2162
123	304	2153
124	306	2144
125	307	2135
126	309	2127
127	310	2117
128	312	2109
129	314	2102
130	316	2096
131	317	2090
132	319	2082
133	321	2075
134	322	2068
135	324	2061
136	326	2054
137	327	2045
138	329	2038
139	330	2031
140	332	2023
141	333	2015
142	335	2009
143	337	2003
144	338	1996
145	340	1988
146	341	1981
147	343	1974
148	344	1967
149	345	1960
150	347	1954
151	349	1947
152	350	1941
153	352	1934
154	353	1928
155	355	1921
156	356	1915
157	358	1910
158	360	1904
159	361	1899
160	363	1893
161	364	1886
162	366	1880
163	367	1873
164	369	1868
165	370	1861
